"ID";"Ключевые слова"
"149";"Culture Health care Marketing Medicine"
"151";"Africa Business Development Economics Entrepreneur"
"152";"Development Economics Entrepreneur Global issues Health care"
"153";"Africa Alternative energy Design Energy Global issues"
"154";"Africa Business Entrepreneur Global issues Investment"
"155";"Africa Culture Entertainment Global issues Literature"
"156";"Africa Culture Education Global issues Leadership"
"157";"Business Development Global issues Investment Medicine"
"158";"Africa Activism Entertainment Live music Music"
"159";"Africa Business Development Global issues Investment"
"161";"Books Culture Education Entertainment Language"
"162";"Animals Art Arts Biomechanics Creativity"
"163";"Business Culture Global issues Media Sociology"
"164";"Culture Language Psychology Science"
"165";"AI Cognitive science Demo Design Evolution"
"167";"Climate change Future Global issues Humanity Space"
"168";"Africa Anthropology Exploration Global issues Human origins"
"169";"Africa Entertainment Guitar Live music Music"
"170";"Business Entertainment Film Global issues Philanthropy"
"171";"Entertainment Film Global issues Storytelling Technology"
"172";"Art Design Simplicity Technology"
"174";"Architecture Cities Green"
"175";"Children Cities Culture Education Global issues"
"176";"Alternative energy Business Design Drones Energy"
"177";"Climate change Culture Global issues Health Peace"
"178";"NASA Planets Design Exploration Science"
"179";"Arts Culture Dance Entertainment"
"181";"Aircraft Business Entertainment Entrepreneur Global issues"
"182";"Art Children Culture Design Entertainment"
"183";"DNA MacArthur grant Complexity Computers"
"184";"Brain Consciousness Culture Illness Illusion"
"185";"Business Economics Food Global issues Technology"
"186";"Africa Arts Entertainment Guitar Live music"
"187";"Business Creativity Entertainment Law Technology"
"188";"Arts Culture Entertainment Guitar Music"
"189";"Brain Depression Health care Illness Medicine"
"190";"Cities Communication Culture Design Global issues"
"191";"Buddhism God Brain Culture Faith"
"192";"Business China Climate change Engineering Global issues"
"193";"Biodiversity Biotech Business Energy Science"
"194";"String theory Physics Science Storytelling Technology"
"195";"Design Evolution Robots Science Technology"
"196";"Entertainment Humor Music Technology"
"197";"Design Humanity Humor Philosophy Storytelling"
"198";"Africa Architecture Culture Design Education"
"199";"Education Entertainment Magic Math Performance"
"200";"Brain Community Compassion Empathy Psychology"
"201";"Communication Community Parenting Relationships Writing"
"202";"Children Design Entertainment Parenting Play"
"203";"Comedy Humor"
"204";"Latin America Entertainment Global issues Love Parenting"
"205";"Entertainment Film Humor Storytelling Technology"
"206";"Animals Evolution Exploration Fish Oceans"
"207";"Art Arts Culture Design Museums"
"208";"Arts Culture Education Entertainment Library"
"209";"MacArthur grant Activism Arts Children Cities"
"210";"Art Arts Culture Entertainment Photography"
"211";"Business Community Culture Global issues Philanthropy"
"212";"Business Cars Cities Technology Transportation"
"213";"Brazil Latin America Cities Culture Design"
"214";"Animals Bees Business Cooperation Culture"
"215";"MacArthur grant Ancient world Art Arts Books"
"216";"Business Collaboration Communication Community Cooperation"
"217";"Activism Culture Global issues Spoken word Technology"
"218";"Live music Music Performance Technology"
"219";"Architecture Cities Collaboration Creativity Design"
"220";"Africa Collaboration Culture Education Global issues"
"221";"NASA Planets Future History Physics"
"222";"Collaboration Entertainment Guitar Humor Singer"
"223";"Collaboration Entertainment Humor Physics"
"224";"Astronomy Collaboration Demo Education Science"
"225";"Children Design Entertainment Parenting Photography"
"227";"Alternative energy Creativity Energy Genetics Global issues"
"228";"Children Collaboration Computers Design Education"
"229";"Biology Brain Consciousness Global issues Illness"
"230";"Demo Design Education Entertainment Future"
"231";"Architecture Collaboration Design Global issues Technology"
"232";"Africa Education Math Physics Science"
"233";"Activism Children Collaboration Culture Design"
"234";"Collaboration Faith Global issues Politics Religion"
"235";"Art Demo Design Entertainment History"
"236";"Biology Brain Business Demo Medicine"
"237";"Culture Education Science Technology Web"
"239";"Education History Math Politics Science"
"241";"Art Demo Design Entertainment Film"
"242";"String theory Evolution Math Physics Science"
"243";"Activism Climate change Global issues Politics Science"
"245";"Business Demo Design Education Entertainment"
"246";"Creativity Demo Design Entertainment Health care"
"247";"Google Business Collaboration Economics Law"
"248";"Google Business Economics Entertainment Global issues"
"249";"Africa Activism Development Global issues Health"
"250";"Arts Culture Entertainment Storytelling Writing"
"251";"String theory Physics Science Universe"
"252";"Aging Genetics Health Health care Medicine"
"253";"String theory Big bang Education Physics Science"
"254";"Collaboration Entertainment Guitar Humanity Humor"
"255";"Africa Education Global issues Philanthropy Technology"
"258";"Biology Design Food Global issues Pollution"
"259";"Bacteria Biology Disease Evolution Global issues"
"260";"MacArthur grant Dance Entertainment Math Music"
"261";"Animals Design Hack Intelligence Interface design"
"263";"Environment Food Green Obesity Sustainability"
"264";"Adventure Animals Biodiversity Education Exploration"
"265";"Africa Guitar Live music Music Singer"
"266";"One Laptop Per Child Business Computers Creativity Design"
"267";"Art Arts Design Engineering Entertainment"
"268";"Activism Design Health Health care Invention"
"269";"Brain Culture Design Evolution Meme"
"270";"Africa Activism Business Development Economics"
"271";"Animals Dinosaurs Entertainment Exploration Fish"
"272";"Children Crime Culture Education Evil"
"273";"Anthropology Beauty Culture Faith Global issues"
"274";"Business Cognitive science Collaboration Culture Social change"
"276";"Culture Global issues History Language Physics"
"278";"Computers Engineering History Library Military"
"279";"Art Arts Beauty Business Culture"
"280";"Animals Design Evolution Robots Science"
"282";"Culture Film Library Personal growth Storytelling"
"285";"Vaccines Design Food Global issues Invention"
"286";"Buddhism Arts Conducting Creativity Culture"
"287";"Culture Entertainment Genetics Live music Piano"
"288";"One Laptop Per Child Activism Computers Design Technology"
"290";"Entertainment Live music Music"
"292";"Business Flight Science Space Technology"
"294";"Africa Culture Entertainment Humanity Humor"
"296";"Entertainment Humor Love Music Piano"
"297";"Art Children Family Global issues Media"
"298";"Arts Entertainment Guitar Music Peace"
"299";"Africa Activism Animals Biodiversity Biosphere"
"300";"Animals Biomechanics Demo Design Entertainment"
"301";"Culture Entertainment Humanity Humor Religion"
"306";"Planets Astronomy Biotech Exploration Extraterrestrial life"
"307";"Brain Cognitive science Culture Literature Love"
"308";"Christianity God Death Faith Religion"
"310";"Brain Entertainment Illusion Magic"
"312";"Brain Education Happiness Psychology Science"
"313";"Africa Art Business Design"
"315";"Africa Ancient world Anthropology Apes Evolution"
"316";"Art Arts Culture Entertainment Global issues"
"318";"Architecture Art Business Design Humor"
"319";"Communication Complexity Future Technology Web"
"320";"Brain Complexity Computers Design Engineering"
"321";"Art Design Engineering Math Origami"
"322";"Cello Entertainment Music Origami"
"323";"Africa DNA Anthropology Culture Evolution"
"324";"Animals Culture Design Entertainment Global issues"
"325";"Animals Entertainment Live music Music Piano"
"326";"Astronomy Big bang Dark matter Education Energy"
"327";"Entertainment Humor Illusion Magic"
"328";"Animals Brain Children Psychology"
"329";"Entertainment Live music Music Performance Piano"
"330";"Africa Activism Global issues Identity Media"
"331";"DNA MacArthur grant Creativity Nanoscale Physics"
"333";"Education Illusion Media Science Technology"
"334";"Animals Education Entertainment Performance"
"335";"Business Design Exploration Science Space"
"339";"Business History Media Technology Telecom"
"340";"Africa Animals Biodiversity Environment Global issues"
"341";"Brain Culture Evolution Global issues Morality"
"343";"Animals Geology Life Oceans Science"
"344";"Global issues History Medicine Technology War"
"345";"Animals Energy Entertainment Global issues Sex"
"346";"Books Design Entertainment Film History"
"347";"Children Entertainment Memory Storytelling"
"348";"Children Economics Education Food Garden"
"349";"Communication Culture Happiness Parenting Relationships"
"350";"Children Design Dinosaurs Entertainment Happiness"
"351";"Brain Health Humanity Humor Politics"
"353";"Business Invention Investment Presentation Technology"
"354";"Books Brain Children Culture Language"
"355";"AI Design Humanity Intelligence Robots"
"356";"Art Design Education Happiness Humor"
"358";"Culture Democracy Global issues Politics Religion"
"359";"Architecture Art Arts Cities Design"
"360";"Arts Communication Design Media Photography"
"361";"Business Design Entertainment Gaming Technology"
"362";"Cities Communication Community Design Global issues"
"363";"Entertainment History Politics Sports Storytelling"
"364";"Entertainment Humor Illusion Live music Music"
"365";"Culture Environment Global issues History Social change"
"366";"Culture Global issues Happiness Music Psychology"
"371";"Physics Science Technology"
"372";"Art Brain Design Museums"
"374";"Entertainment Extraterrestrial life Humor Love Physics"
"375";"Beauty Business Culture Entertainment Illusion"
"377";"Health Health care Medicine Science"
"379";"Demo Design Drones Flight Green"
"381";"AIDS Africa Activism Disease Global issues"
"383";"Design Entertainment Humor Love Media"
"385";"Business Creativity Design Industrial design Invention"
"386";"Africa Arts Creativity Culture Entertainment"
"388";"Business Design Exploration Invention Oceans"
"390";"Culture Entertainment Media Social change Social media"
"391";"Activism Environment Global issues"
"392";"Art Creativity Design Education Play"
"393";"Senses Beauty Happiness Materials Science"
"394";"String theory Community Global issues Physics Politics"
"395";"Communication Global issues Morality Politics Terrorism"
"396";"Business Creativity Design Entertainment Fashion"
"399";"Planets Design Exploration Physics Robots"
"400";"Art Arts Design Entertainment Humor"
"402";"Architecture Art Design Future Technology"
"403";"Africa Creativity Culture Entertainment Film"
"404";"Astronomy Culture Dark matter Design Physics"
"405";"Business Future Health Science Technology"
"406";"Entertainment Food Global issues Sustainability"
"407";"Business Climate change Design Entertainment Global issues"
"408";"Aging Brain Business Health Public health"
"409";"Arts Complexity Exploration Nature Science"
"410";"Cities Communication Community Computers Entertainment"
"411";"Alternative energy Cars Design Energy Future"
"412";"Demo Design Entertainment Invention Technology"
"413";"Arts Culture Entertainment Invention Music"
"414";"Arts Creativity Design Exploration Play"
"416";"Animals Bees Disease Food Insects"
"418";"Books Business Culture Design Entertainment"
"419";"Books Business Culture Entertainment Food"
"420";"Brain Choice Culture Entertainment Goal-setting"
"421";"Planets Exploration Extraterrestrial life Geology Life"
"422";"Biology Biomechanics Math Science Society"
"423";"One Laptop Per Child Children Computers Design Education"
"424";"Asia Business Culture Exploration Food"
"426";"DNA Biology Curiosity History Microbiology"
"427";"Arts Computers Curiosity Design Education"
"428";"Africa Animals Biology Dinosaurs Education"
"429";"Design Engineering Invention Technology Transportation"
"430";"Design"
"431";"Arts Beauty Business Design Exploration"
"432";"Art Arts Books Children Computers"
"433";"Art Books Chemistry Food Life"
"434";"Business Consumerism Creativity Shopping"
"435";"Art Arts Design Entertainment Happiness"
"436";"Design Exploration Humor Photography Typography"
"437";"Biology Entrepreneur Food Genetics Science"
"439";"Culture Future Global issues Social change Technology"
"440";"Dinosaurs Disease Environment History Life"
"441";"Philanthropy Philosophy Writing"
"442";"Business Creativity Design Invention Technology"
"443";"Beauty Body language Design Prosthetics Sports"
"445";"Global issues Illness Medicine Science Technology"
"447";"Arts Collaboration Culture Entertainment Music"
"450";"Energy Invention Solar energy Technology"
"451";"Business Education Health Illness Insects"
"453";"Arts Creativity Culture Entertainment Poetry"
"455";"Art Communication Creativity Culture Design"
"457";"Art Business Children Computers Design"
"462";"Business Culture Global issues Philosophy Politics"
"463";"Biology Business Economics Robots Science"
"464";"Arts Conducting Culture Education Entertainment"
"466";"Arts Children Conducting Culture Education"
"467";"Activism Biodiversity Exploration Oceans Science"
"468";"Exploration Extraterrestrial life Intelligence Science Space"
"469";"Aging Arts Business Entertainment Film"
"470";"Business Environment Oceans Plastic Science"
"471";"Biodiversity Exploration Fear Fish Oceans"
"472";"Art Arts Beauty Cities Entertainment"
"473";"Business Communication Culture Entertainment Social change"
"474";"Arts Children Culture Design Entertainment"
"475";"Animals Biodiversity Biosphere Global issues Green"
"476";"Activism Animals Biodiversity Biology Biosphere"
"477";"Economics Entertainment Work"
"478";"Arts Entertainment Innovation Invention Live music"
"480";"Creativity Design Happiness"
"481";"Demo Design Interface design Technology"
"482";"Activism Design Fashion Future Prosthetics"
"483";"Brain Children Education Entertainment Gaming"
"484";"Business Communication Design Invention Technology"
"485";"Animals Biology Children Comedy Evolution"
"487";"Brain Culture Economics Evil Motivation"
"488";"Animals Art Birds Creativity Entertainment"
"489";"Art Arts Entertainment Humor Media"
"490";"Architecture Cities Environment Garden Science"
"492";"Alternative energy Energy Engineering Environment Future"
"494";"Activism Business Culture Global issues Poverty"
"495";"Culture Technology"
"498";"Culture Education Leadership Life Poetry"
"499";"AIDS Africa Bacteria Biodiversity Biology"
"500";"Arts Culture Entertainment Literature Poetry"
"501";"Business Creativity Culture Design Media"
"502";"Adventure Design Entertainment Exploration Extreme sports"
"503";"Creativity Design Exploration Materials Transportation"
"504";"Design Drones Future Global issues Politics"
"506";"Architecture Children Design Entertainment Film"
"507";"Global issues Math Politics Prediction Technology"
"509";"MacArthur grant Bacteria Biology Communication Disease"
"510";"Cognitive science Comedy Entertainment Humor Philosophy"
"511";"Communication Social media Society Telecom"
"512";"Alternative energy Business Cars Energy Global issues"
"515";"Biology Biotech Children Evolution Genetics"
"516";"Art Math Science Technology Visualizations"
"517";"Dance Fear Language Life Productivity"
"518";"Adventure Entertainment Environment Nature"
"519";"Art Design Math Oceans Science"
"520";"Business Design Technology Work"
"521";"Cities Politics Race Statistics Urban planning"
"523";"Africa Activism Communication Disaster relief Global issues"
"524";"New York Art Books Cities Humor"
"525";"Business China Cities Culture Economics"
"526";"Brain Computers Consciousness Education Entrepreneur"
"527";"Culture Humanity Humor Identity Performance"
"529";"Vaccines Business Ebola Health Health care"
"531";"Astronomy Energy Exploration Physics Science"
"532";"Math Physics War"
"533";"Art Arts Dance Education Future"
"534";"Art Arts Design Engineering Space"
"535";"Alternative energy Biosphere Climate change Energy Environment"
"537";"Business Development Food Global issues Industrial design"
"538";"Books Communication Community Marketing Social media"
"540";"AIDS Africa Disease Global issues Presentation"
"541";"Art Entertainment Live music Music Piano"
"544";"New York Entertainment Innovation Music Performance"
"545";"Business Development Economics Global issues India"
"547";"Business Design Environment Green Materials"
"548";"Culture Decision-making Economics Global issues Psychology"
"549";"Books Culture History Humor Science"
"551";"Planets Astronomy Exploration Life Science"
"552";"Cars Design Engineering Green Transportation"
"553";"Children Culture Humor Psychology"
"554";"United States Business China Education Global issues"
"555";"Culture Education Global issues Leadership Politics"
"556";"Biodiversity Biology Biosphere Environment Future"
"557";"Guitar Innovation Music Performance Singer"
"558";"Activism Collaboration Creativity Education Future"
"560";"Computers Education Future Nanoscale Prediction"
"561";"Art Climate change Environment Film Future"
"562";"Books Entertainment History Literature Poetry"
"563";"Community Social change"
"565";"Architecture Business Demo Design Green"
"566";"Architecture Children Design Energy Technology"
"570";"Beauty Culture Happiness Neuroscience Psychology"
"571";"Animals Biology Biomechanics Design Materials"
"572";"Business Humor Life Productivity Psychology"
"573";"Adventure Biosphere Biotech Climate change Environment"
"575";"Communication Culture Global issues Politics Social change"
"578";"God Activism Faith Meme Religion"
"580";"Design Health care Heart health Medicine Science"
"581";"China Music Performance Piano Technology"
"582";"Brain Business Happiness Mind Psychology"
"584";"Global issues Money Politics Poverty State-building"
"585";"Activism Community Global issues Philanthropy Potential"
"586";"Global issues"
"587";"Economics Education Math Statistics"
"588";"Children Development Education Innovation Invention"
"589";"Architecture Cities Creativity Design Technology"
"590";"Children Creativity Design Film Product design"
"591";"Brain Creativity Design Presentation Technology"
"592";"Asia Adventure Development Storytelling Third world"
"594";"Biology Chemistry Disease Health Health care"
"598";"Alternative energy Climate change Development Environment Future"
"599";"Art Arts Cities Design"
"601";"Biology Biotech Health Health care Medicine"
"602";"Brain Consciousness Development Mental health Mind"
"603";"Anthropology Biology Evolution Human origins Humanity"
"604";"Europe Collaboration Communication Economics Global issues"
"605";"Culture Philosophy Success Work"
"606";"Art Arts Creativity Design Poetry"
"607";"Apes Evolution Science"
"608";"Business Cities Culture Economics Global issues"
"610";"Art Arts Creativity Education"
"613";"Business Demo Design Global issues Invention"
"614";"Biodiversity Biology Biomimicry Biotech Creativity"
"615";"Arts Entertainment Global issues Music Poetry"
"618";"Brain Business Creativity Motivation Science"
"619";"Engineering Entrepreneur Future Science Technology"
"620";"Development Education Medicine Presentation Science"
"621";"Arts Media Performance Performance art Storytelling"
"622";"Agriculture Biodiversity Biosphere Climate change Disaster relief"
"623";"Development Global issues Health Health care Innovation"
"625";"Culture Design Education Health Social change"
"626";"Design Math Presentation Science Visualizations"
"627";"Entertainment Film Space Sports Technology"
"628";"Climate change Global issues Photography Science Technology"
"629";"Adventure Climate change Science Sports"
"630";"Brain Morality Science Technology"
"631";"Asia Beauty Culture History Music"
"633";"Adventure Crime Economics Global issues Writing"
"634";"Architecture Cities Creativity Design Environment"
"635";"Comedy Philosophy Science"
"637";"Biology Brain Medicine Mental health Mind"
"639";"Creativity Entertainment Live music Music Performance"
"640";"Internet Culture Law Technology Web"
"641";"Internet Government Politics Technology Web"
"642";"Africa Creativity Energy Invention Poverty"
"643";"Adventure Art Arts Culture Curiosity"
"644";"Africa Business Development Economics Global issues"
"645";"Asia Economics Global issues History Map"
"646";"Art Business Design Green History"
"647";"God Global issues Politics Religion Violence"
"648";"Astronomy Chemistry Life Science Technology"
"649";"Adventure Art Creativity Design Happiness"
"650";"Ancient world Cities Culture Food Global issues"
"651";"Business Communication Culture Leadership Society"
"652";"Africa Books Culture Identity Storytelling"
"653";"Art Brain Consciousness Mind Psychology"
"654";"Architecture Books Culture Design Entertainment"
"655";"Cities Environment History Life Nature"
"657";"Body language Demo Design Engineering Entertainment"
"658";"Advertising Business Consumerism Creativity Economics"
"659";"Brain Computers Consciousness Mind Neurology"
"660";"Birds Business Cities Entertainment Music"
"661";"Advertising Business Consumerism Economics Marketing"
"662";"Art Computers Design Film Technology"
"663";"Business Conducting Leadership Music Psychology"
"664";"Design Development Education Health Medicine"
"665";"Development Economics Future Global issues Inequality"
"666";"Ancient world Cosmos Faith History Philosophy"
"667";"Architecture Art Biology Design Development"
"669";"Depression Happiness Life Personal growth Poverty"
"670";"Architecture Art Beauty Math Physics"
"672";"Arts Creativity Live music Music Performance"
"673";"Charter for compassion Compassion Global issues Religion"
"674";"Charter for compassion Chautauqua Compassion Global issues Religion"
"675";"Charter for compassion Chautauqua Compassion Faith Global issues"
"676";"Charter for compassion Compassion Global issues Religion"
"677";"Charter for compassion Chautauqua Compassion Global issues Love"
"679";"Charter for compassion Compassion Evolution Global issues"
"680";"Anthropology Humanity Love Psychology Social media"
"681";"Business Cities Design Global issues Social change"
"682";"Chemistry Climate change Environment Global issues Science"
"683";"Design Energy Global issues Photography Technology"
"684";"Culture Entertainment Global issues Poetry Politics"
"685";"Demo Design Open-source Technology"
"686";"Business Culture Global issues India"
"688";"Culture Dance Entertainment Global issues Politics"
"689";"Business Culture Entertainment Global issues India"
"691";"Design Disease Green Innovation Nature"
"692";"Arts Environment Global issues Leadership Politics"
"694";"Astronomy History Innovation Science Technology"
"695";"Asia Economics Health India Statistics"
"696";"Big problems Cities Energy Environment Future"
"698";"Africa Architecture Bacteria Biology Design"
"700";"Europe Big problems Environment Global issues Government"
"701";"Astronomy Dark matter Exploration Physics Science"
"702";"Architecture Design Environment History India"
"704";"Asia Slavery Children Global issues Poverty"
"705";"Art Computers Design Gaming Math"
"706";"Comedy Global issues Government Performance Politics"
"708";"Art History Performance Personal growth"
"709";"Design Health Health care Humanity Medicine"
"710";"Egypt Culture Entertainment Global issues Media"
"712";"Corruption Economics Global issues Money Terrorism"
"713";"Asia Art Humanity Photography Storytelling"
"714";"Internet Animals Business Culture Entertainment"
"715";"Biodiversity Biology Biosphere Birds Insects"
"716";"Art Books Language Music Poetry"
"717";"Asia Crime Entrepreneur Potential Poverty"
"718";"Alternative energy Climate change Energy Environment Physics"
"719";"Culture Entrepreneur Global issues Health Health care"
"720";"Business Computers Creativity Death Design"
"721";"Education Government Law Philosophy Politics"
"722";"Business Creativity Development Engineering Innovation"
"723";"Adventure Aircraft Engineering Green Solar energy"
"724";"Biology Brain Cities Cognitive science Evolution"
"726";"Art Nature Photography Science"
"727";"Biology Culture Exploration Food Health"
"728";"Animals Biodiversity Biosphere Environment Water"
"729";"Arts Live music Music Performance"
"730";"Culture Disease Education Life Self"
"732";"Biology Brain Humanity Life Mind"
"733";"Business Life Money Presentation"
"734";"Activism Animals Biodiversity Biosphere Environment"
"735";"Children Education India Leadership Social change"
"736";"Cities Collaboration Design Map Technology"
"737";"Books Disaster relief Novel Poetry Storytelling"
"738";"Astronomy Comedy Humor Map Science"
"741";"Biology Magic Medicine Performance"
"743";"Asia Art Arts Design Future"
"744";"Biology Health Medicine Science Technology"
"745";"Arts Live music Music Performance"
"746";"Biology Evolution Life Science Universe"
"747";"Education Performance Poetry Writing"
"748";"Cities Health Health care Heart health Medicine"
"750";"Architecture Arts Creativity Design Theater"
"751";"Culture Feminism Gender Self Social change"
"752";"Children Design Entrepreneur Health Innovation"
"755";"Business Creativity Map"
"756";"Books Creativity Education Goal-setting Poverty"
"757";"Big problems Brain Economics Global issues Health"
"759";"Collaboration Community Entrepreneur Health Health care"
"760";"Chemistry Development Disease Poverty Science"
"761";"Cancer Health Health care Medicine Technology"
"762";"Art Astronomy Creativity Illness Science"
"763";"Corruption Global issues Money Politics"
"765";"Business Education Food Global issues Health"
"766";"Cities Design Map Technology"
"767";"Business Energy Global issues Invention Science"
"768";"Business Global issues Politics"
"769";"Activism Happiness Health Prosthetics Social change"
"770";"Computers History Life Technology"
"771";"Business Design Health care Law"
"772";"Disease Health Health care Medicine Technology"
"773";"Autism spectrum disorder Animals Brain Design Education"
"775";"Brain Mind Music Performance"
"776";"Biology Health care Medicine Neurology Science"
"777";"Art Arts Culture Design Entertainment"
"779";"Brain Culture Economics Happiness Mind"
"780";"Business Culture Entertainment India Sports"
"783";"Data Demo Interface design Technology Web"
"784";"Astronomy Physics Science"
"785";"Adventure Entertainment Film Nature Oceans"
"786";"Art Arts Collaboration Dance Entertainment"
"787";"Business Happiness Life Mind Psychology"
"788";"Internet Computers Statistics Visualizations Web"
"789";"Cities Culture Design Transportation"
"790";"Agriculture Biology Environment Food Health"
"791";"Adventure Biology Exploration Humanity Medicine"
"792";"Entertainment Illusion Magic Medicine Science"
"795";"Internet Business Entrepreneur Money Web"
"796";"Biology Fish Health care Science War"
"797";"Business Health Health care Science Technology"
"798";"Biodiversity Biology Comedy Life Religion"
"799";"Computers Design Entertainment Gaming Global issues"
"800";"Arts Creativity Entertainment Film"
